City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,talnakh,69.4865,88.3972,-12.72,97,100,2.07,RU,1675504583
140,alofi,-19.0595,-169.9187,23.94,94,100,1.54,NU,1675504584
141,samarai,-10.6167,150.6667,27.83,79,100,2.26,PG,1675504584
142,bambous virieux,-20.3428,57.7575,30.12,74,40,5.14,MU,1675504585
143,saskylakh,71.9167,114.0833,-44.48,100,59,0.7,RU,1675504586
144,itarema,-2.9248,-39.9167,25.03,87,52,4.79,BR,1675504586
145,coihaique,-45.5752,-72.0662,12.97,88,0,2.57,CL,1675504587
146,parana,-31.732,-60.5238,20.32,88,0,2.59,AR,1675504269
147,kapaa,22.0752,-159.319,23.18,93,100,9.26,US,1675504587
148,severo-kurilsk,50.6789,156.125,-3.24,73,100,5.63,RU,1675504438
149,shingu,33.7333,135.9833,7.25,71,98,3.4,JP,1675504588
150,hithadhoo,-0.6,73.0833,27.61,71,95,7.89,MV,1675504589
151,ampanihy,-24.7,44.75,34.65,37,75,1.3,MG,1675504589
152,cobija,-11.0267,-68.7692,20.96,100,100,0.71,BO,1675504590
153,neftekamsk,56.092,54.2703,-6.53,82,100,2.32,RU,1675504591
154,chuy,-33.6971,-53.4616,18.52,89,13,4.66,UY,1675504591
155,preobrazheniye,42.9019,133.9064,-7.61,68,28,4.03,RU,1675504592
156,yanam,16.7333,82.2167,28.75,44,3,3.52,IN,1675504593
157,zhigansk,66.7697,123.3711,-40.88,97,48,5.24,RU,1675504593
158,burewala,30.1667,72.65,28.11,14,1,3.7,PK,1675504594
159,atuona,-9.8,-139.0333,25.78,73,0,8.48,PF,1675504594
160,pevek,69.7008,170.3133,-35.92,99,35,1.89,RU,1675504595
161,hualmay,-11.0964,-77.6139,21.56,86,97,2.34,PE,1675504595
162,dingle,10.9995,122.6711,24.59,87,100,4.6,PH,1675504596
163,mikun,62.3547,50.0771,-7.46,93,78,1.0,RU,1675504596
164,aykhal,66.0,111.5,-33.91,100,98,1.14,RU,1675504597
165,mont-de-marsan,44.0,-0.6667,9.4,93,0,0.0,FR,1675504597
166,kahului,20.8947,-156.47,24.36,83,0,7.2,US,1675504598
